zip,count,sq_mileage,density
94102,9,0.648289193,13.88269325
94103,8,1.342787766,5.957754605
94104,2,0.081342897,24.58727273
94105,6,0.348663457,17.20857143
94107,1,2.43724118,0.410299977
94108,3,0.258137514,11.6217126
94109,7,1.210667077,5.781936366
94110,5,2.381114181,2.099857302
94111,2,0.475256724,4.208251874
94112,4,3.308238557,1.209102648
94114,5,1.366283707,3.659562046
94115,2,1.123992514,1.779371282
94116,3,2.583175385,1.16136133
94117,2,1.390390876,1.438444421
94118,6,1.764072167,3.401221398
94121,2,2.949985067,0.677969534
94122,2,3.182663625,0.628404455
94123,2,1.009787483,1.980614767
94124,1,5.002284734,0.199908652
94127,2,1.88007074,1.06378976
94131,1,2.134286291,0.468540703
94132,2,4.061759885,0.492397398
94133,4,0.668702828,5.981730346
94134,1,2.393319172,0.41782977
